title,url,date,source
"Assessing CHIPS Acts Value, Tariffs and Semi Equipment Growth",https://www.eetimes.com/assessing-chips-acts-value-tariffs-and-semi-equipment-growth/,2025-06-06,EE Times
"China Weaponizes Rare Earths, Hitting Factories",https://www.eetimes.com/china-weaponizes-rare-earths-hitting-factories/,2025-06-06,EE Times
Gadget Book: Practical Deep Learning (with Python),https://www.electronicsweekly.com/blogs/gadget-master/general/gadget-book-practical-deep-learning-with-python-2025-06/,2025-06-06,Electronics Weekly
Vehicle hardware security certified to ISO/SAE 21434,https://www.electronicsweekly.com/news/products/software-products/vehicle-hardware-security-certified-to-iso-sae-21434-2025-06/,2025-06-06,Electronics Weekly
"DigiKey offers Zephyr RTOS workshop, video training",https://www.electronicsweekly.com/news/business/distribution/digikey-offers-zephyr-rtos-workshop-video-training-2025-06/,2025-06-06,Electronics Weekly
Genesis of European semi manufacturing  clean-up,https://www.electronicsweekly.com/news/business/genesis-of-european-semi-manufacturing-clean-up-2025-06/,2025-06-06,Electronics Weekly
"Most Read – STEP for Semiconductor, Tomahawk 6, Stacked DRAM",https://www.electronicsweekly.com/blogs/electro-ramblings/latest-news/most-read-step-for-semiconductor-tomahawk-6-stacked-dram-2025-06/,2025-06-06,Electronics Weekly
Rare earths export restrictions hit car production,https://www.electronicsweekly.com/news/business/rare-earths-export-restrictions-hit-car-production-2025-06/,2025-06-06,Electronics Weekly
Imec researchers demo single-chip optical and microwave integration,https://www.electronicsweekly.com/news/business/imec-and-ghent-uni-2025-06/,2025-06-06,Electronics Weekly
Robots to enable urban mining of CRMs,https://www.electronicsweekly.com/news/business/robots-to-enable-urban-mining-of-crns-2025-06/,2025-06-06,Electronics Weekly
European SPACE4Cities names 20 winning urban planning projects,https://www.electronicsweekly.com/news/european-space4cities-names-20-winning-urban-planning-projects-2025-06/,2025-06-06,Electronics Weekly
Intel’s Tech Predictions In 2009,https://www.electronicsweekly.com/blogs/mannerisms/yarns/intels-tech-predictions-in-2009-2-2025-06/,2025-06-06,Electronics Weekly
AI and the problem of misinformation,https://www.edn.com/ai-and-the-problem-of-misinformation/,2025-06-06,EDN Network
Standardization and modularization in pick and place equipment,https://www.edn.com/standardization-and-modularization-in-pick-and-place-equipment/,2025-06-06,EDN Network
GlobalFoundries Pledges $16 Billion U.S. Investment with Trump’s Help,https://www.eetimes.com/globalfoundries-pledges-16-billion-u-s-investment-with-trumps-help/,2025-06-05,EE Times
"Jim Keller: ‘Whatever Nvidia Does, We’ll Do The Opposite’",https://www.eetimes.com/jim-keller-whatever-nvidia-does-well-do-the-opposite/,2025-06-05,EE Times
OpenGMSL Aims to Overcome Automotive Video Interoperability Challenge,https://www.eetimes.com/opengmsl-aims-to-overcome-automotive-video-interoperability-challenge/,2025-06-05,EE Times
The Opportunity for Liquid Sensing,https://www.eetimes.com/the-opportunity-for-liquid-sensing/,2025-06-05,EE Times
DMMs improve accuracy and usability,https://www.edn.com/dmms-improve-accuracy-and-usability/,2025-06-05,EDN Network
GaN HEMT earns DLA-JANS certification,https://www.edn.com/gan-hemt-earns-dla-jans-certification/,2025-06-05,EDN Network
Multichannel impedance meter analyzes Li-Ion cells,https://www.edn.com/multichannel-impedance-meter-analyzes-li-ion-cells/,2025-06-05,EDN Network
Motor gate drivers enable flexible current control,https://www.edn.com/motor-gate-drivers-enable-flexible-current-control/,2025-06-05,EDN Network
Powerline module enables EV charger data links,https://www.edn.com/powerline-module-enables-ev-charger-data-links/,2025-06-05,EDN Network
A quick and practical view of USB Power Delivery (USB-PD) design,https://www.edn.com/a-quick-and-practical-view-of-usb-power-delivery-usb-pd-design/,2025-06-05,EDN Network
Ambature to Deliver Superconductor IP for AI’s Energy Problem,https://www.eetimes.com/ambature-to-deliver-superconductor-ip-for-ais-energy-problem/,2025-06-04,EE Times
Arm Launches Zena to Accelerate AI-Defined Vehicle,https://www.eetimes.com/arm-launches-zena-to-accelerate-ai-defined-vehicle/,2025-06-04,EE Times
10-octave linear-in-pitch VCO with buffered tri-wave output,https://www.edn.com/10-octave-linear-in-pitch-vco-with-buffered-tri-wave-output/,2025-06-04,EDN Network
Seeing inside entry-level audiophile desire: Monoprice’s Liquid Spark Headphone Amplifier,https://www.edn.com/seeing-inside-entry-level-audiophile-desire-monoprices-liquid-spark-headphone-amplifier/,2025-06-04,EDN Network
Smart Design Tips for IoT Nodes to Last for Decades,https://www.eetimes.com/smart-design-tips-for-iot-nodes-to-last-for-decades/,2025-06-03,EE Times
Indian Watchmaker Bets Big on Customized Manufacturing Lines,https://www.eetimes.com/indian-watchmaker-bets-big-on-customized-manufacturing-lines/,2025-06-03,EE Times
