Product Name,Product url,Article_1_Score,Article_1_Title,Article_2_Score,Article_2_Title,Article_3_Score,Article_3_Title
Controllers - Accessories,https://www.digikey.com/en/products/filter/controllers/controller-accessories/816,100.0,NMI hosts industry conference in Glasgow with theme of growth,55.426,DigiKey introduces own-brand DigiKey Standard product line,46.171,CHIIPS podcast interview with industry veteran Ash Madni
"Hardware, Fasteners, Accessories",https://www.digikey.com/en/products/category/hardware-fasteners-accessories/26?s=N4IgjCBcoLQdIDGUAuAnArgUwDQgPZQDa4AnCALoC%2BNQA,32.996,Elektra Awards 2025 open for entries,14.953,NMI hosts industry conference in Glasgow with theme of growth,,
Wiring Blocks - Accessories,https://www.digikey.com/en/products/filter/modular-ethernet-connectors/modular-ethernet-connector-wiring-blocks-accessories/417,31.856,Elektra Awards 2025 open for entries,14.436,NMI hosts industry conference in Glasgow with theme of growth,,
"Display Modules - LCD, OLED Character and Numeric",https://www.digikey.com/en/products/filter/lcd-oled-character-and-numeric/99,11.393,DigiKey introduces own-brand DigiKey Standard product line,,,,
Logic,https://www.digikey.com/en/products/category/logic/2019,47.656,"Get Mannerisms, Gadget Master, the Daily and the Weekly, in newsletter form",,,,
Accessories,https://www.digikey.com/en/products/filter/backplane-connectors/backplane-connector-accessories/343,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
"Image Sensors, Camera",https://www.digikey.com/en/products/filter/optical-sensors/image-sensors-camera/532,10.089,IPC praises President Trump for defence industry support,,,,
Fans - Accessories,https://www.digikey.com/en/products/filter/fans/fan-accessories/223,50.664,Elektra Awards 2025 open for entries,22.959,NMI hosts industry conference in Glasgow with theme of growth,,
"Hardware, Fasteners, Accessories",https://www.digikey.com/en/products/category/hardware-fasteners-accessories/26,32.996,Elektra Awards 2025 open for entries,14.953,NMI hosts industry conference in Glasgow with theme of growth,,
Accessories,https://www.digikey.com/en/products/filter/test-and-measurement-accessories/613,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
Accessories,https://www.digikey.com/en/products/filter/external-internal-power-supply-accessories/131,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
Accessories,https://www.digikey.com/en/products/filter/accessories/925,100.0,Elektra Awards 2025 open for entries,45.316,NMI hosts industry conference in Glasgow with theme of growth,,
AC DC Configurable Power Supply Modules,https://www.digikey.com/en/products/filter/ac-dc-configurable-power-supply-modules/136,13.66,DigiKey introduces own-brand DigiKey Standard product line,,,,
